name	z	m_V
04D3gx	0.910000026	24.8055153
04D3ez	0.263000011	21.1346703
04D3cy	0.643000007	23.5112686
04D2iu	0.690999985	23.588768
04D2fs	0.356999993	21.9255295
04D1aj	0.721000016	23.6756783
03D4gf	0.58099997	23.2423248
03D4dh	0.626800001	23.2586136
03D4cn	0.818000019	23.8928947
03D3cc	0.462700009	22.5422859
03D3aw	0.449000001	22.5230675
03D1fl	0.688000023	23.5539856
03D1cm	0.870000005	24.7313042
03D1au	0.504299998	22.8381996
b010	0.591000021	23.7091064
b013	0.425999999	22.2615776
b016	0.328999996	21.8402557
d058	0.583000004	22.9011269
d084	0.518999994	23.5715103
d085	0.400999993	22.1954231
d086	0.204999998	20.4037704
d087	0.340000004	21.7131805
d089	0.43599999	22.3800163
d093	0.363000005	22.0519753
d097	0.43599999	22.4257698
d117	0.308999985	21.6737976
d149	0.342000008	21.8845978
e020	0.158999994	19.9163628
e029	0.331999987	21.7554779
e108	0.469000012	22.8544807
e132	0.238999993	20.7591286
e136	0.351999998	21.9237785
e138	0.611999989	23.313942
e140	0.630999982	22.8773842
e147	0.644999981	23.3169746
e148	0.42899999	22.3900375
e149	0.497000009	22.5757751
f011	0.538999975	22.7266617
f041	0.56099999	23.3719521
f076	0.409999996	21.8474922
f096	0.412	21.9237137
f216	0.598999977	23.2434654
f231	0.619000018	23.5560188
f235	0.421999991	22.2283096
f244	0.540000021	23.0111618
f308	0.400999993	23.0546188
g005	0.217999995	20.5754089
g050	0.633000016	22.7016716
g052	0.382999986	22.1420326
g055	0.301999986	21.8107986
g097	0.340000004	21.5800438
g120	0.50999999	22.3806839
g133	0.421000004	22.6360321
g142	0.398999989	21.9880829
g160	0.493000001	22.6469154
g240	0.686999977	23.4963837
h300	0.686999977	23.3348351
h319	0.495000005	22.7486649
h323	0.602999985	23.1462059
h342	0.421000004	22.6796265
h359	0.34799999	22.0896263
h363	0.213	20.6090393
h364	0.344000012	21.6728706
k396	0.270999998	21.0323029
k411	0.56400001	22.8728905
k425	0.273999989	21.2246513
k429	0.180999994	20.182888
k430	0.582000017	23.6639099
k441	0.680000007	23.4040337
k448	0.400999993	22.4356308
k485	0.416000009	22.0575371
m027	0.286000013	21.711132
m034	0.561999977	23.5505219
m043	0.266000003	20.8907089
m062	0.31400001	21.7319679
m138	0.58099997	24.1686783
m158	0.463	22.4477539
m193	0.340999991	21.4915123
n256	0.630999982	23.3818245
n258	0.522000015	23.17733
n263	0.368000001	21.9676971
n278	0.308999985	21.360775
n285	0.527999997	22.8696899
n404	0.216000006	20.9049072
p455	0.284000009	21.3353844
p524	0.508000016	22.6942711
p528	0.781000018	23.9372292
p534	0.612999976	23.1167107
1999fw	0.277999997	21.0662422
1999fn	0.476999998	22.5543365
1999fm	0.949999988	24.1383171
1999fk	1.05700004	24.650631
1999fj	0.815999985	24.191082
1999ff	0.455000013	22.8239326
04Eag	1.01999998	24.8629265
04Gre	1.13999999	24.8229561
04Man	0.853999972	24.1084633
04Mcg	1.37	25.5497131
04Omb	0.975000024	24.833725
04Pat	0.970000029	24.9626007
04Rak	0.74000001	23.7875481
04Sas	1.38999999	25.376236
04Yow	0.460000008	22.6484489
05Fer	1.01999998	24.6640663
05Gab	1.12	25.0144043
05Lan	1.23000002	25.5206757
05Red	1.19000006	24.8628311
05Spo	0.838999987	23.8980675
05Str	1.00999999	25.4121361
05Zwi	0.521000028	22.8782463
2002dc	0.474999994	22.6048813
2002dd	0.949999988	24.3841515
2002fw	1.29999995	25.5162582
2002hp	1.30499995	25.2401695
2002kc	0.216000006	21.0560455
2002kd	0.735000014	23.5918388
2002ki	1.13999999	24.6969528
